"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-JINT-005","Create Initial Database Models for Scripts and Versions","Define the EF Core entities for `TransformationScript` and `TransformationScriptVersion`. Set up relationships and generate the initial EF Core migration for script and version storage.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","8.8","3","database,ef-core,backend,repo-centric","Sprint 1","Establish the core backend engine, database schema, and security foundations.","Core Data Transformation Engine","EPIC-001","Data Transformation Feature","US-DT-007","",".NET 8,Entity Framework Core","Medium","Low","`TransformationScript` and `TransformationScriptVersion` C# classes are created; An EF Core migration script is successfully generated.","Code reviewed; Unit tests passing; Migration script generated and tested.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit testing of EF Core configuration.","Migration must be applied to staging DB.","Provides the foundational database schema for storing all transformation scripts and their version history."
"TASK-JINT-008","Implement Repositories for Script Management","Create the data access layer (repositories) to handle CRUD operations for `TransformationScript` and `TransformationScriptVersion` entities, abstracting the EF Core logic.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","6.2","3","backend,ef-core,data-access,repo-centric","Sprint 1","Establish the core backend engine, database schema, and security foundations.","Transformation Management UI","EPIC-002","Data Transformation Feature","US-DT-007","TASK-JINT-005",".NET 8,Entity Framework Core","Medium","Low","Repository provides transactional methods for creating/updating scripts and versions; All data access for scripts goes through this repository.","Code reviewed; Integration tests passing against a test database.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Integration testing of repository methods.","None","Creates a stable, testable data access layer for all script and version management operations."
"TASK-SEC-004","Design and Implement IAuditLogger Service","Create a service to handle the creation of audit log entries for security-sensitive events. The implementation will write structured log entries to a dedicated 'AuditLog' database table.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","10.3","5","backend,security,compliance,repo-centric","Sprint 1","Establish the core backend engine, database schema, and security foundations.","Security & Compliance","EPIC-003","Data Transformation Feature","US-DT-010","",".NET 8,C#,Logging,Entity Framework Core","Medium","Medium","An `IAuditLogger` interface is defined; Implementation writes to a new 'AuditLog' table; The logged event includes user ID, action, timestamp, and entity IDs.","Code reviewed; Integration tests for the logger are passing; A new EF Core migration for the AuditLog table is generated.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Integration testing to confirm log persistence.","Migration for AuditLog table must be applied to staging DB.","Provides the foundational service for all security and compliance logging, essential for meeting SOC 2/ISO 27001 objectives."
"TASK-JINT-001","Design and Implement ITransformationEngine Service with Jint","Create the `ITransformationEngine` interface and a `JintTransformationEngine` implementation. This service will encapsulate the Jint engine, accept a script and a `System.Text.Json.JsonNode`, and return a `JsonNode`.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","8.3","3","backend,jint,core-engine","Sprint 1","Establish the core backend engine, database schema, and security foundations.","Core Data Transformation Engine","EPIC-001","Data Transformation Feature","US-DT-001","",".NET 8,C#,Jint,System.Text.Json","Medium","Low","The service can be injected via DI; A method `Execute(string script, JsonNode data)` is defined; The service correctly passes a JSON object to a script and retrieves the modified result.","Code reviewed; Unit tests passing.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit testing of basic transformations.","None","Creates the central service for executing all JavaScript transformations."
"TASK-JINT-002","Implement Jint Sandbox Security Constraints","Configure each Jint engine instance with strict, configurable security constraints for execution timeout, memory allocation, statement count, and disable CLR access.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","12","5","backend,security,jint,core-engine","Sprint 1","Establish the core backend engine, database schema, and security foundations.","Core Data Transformation Engine","EPIC-001","Data Transformation Feature","US-DT-001","TASK-JINT-001",".NET 8,C#,Jint,Application Security","High","High","CLR access is disabled; Scripts violating timeout, memory, or statement limits are terminated with specific exceptions; All constraint values are loaded from `appsettings.json`.","Code reviewed by security lead; Unit tests for each constraint violation are passing.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit testing that triggers each constraint.","Configuration values must be set in production appsettings.","Critical security feature to prevent denial-of-service or code execution attacks via user scripts."
"TASK-JINT-006","Implement Exception Handling and Error DTO Mapping","Wrap Jint execution calls in try-catch blocks. Catch `Jint.Runtime.JavaScriptException` and `Esprima.ParserException`, extract relevant details (message, line number, stack), and map them to a `ScriptErrorDto`.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","8.3","3","backend,jint,error-handling","Sprint 1","Establish the core backend engine, database schema, and security foundations.","Core Data Transformation Engine","EPIC-001","Data Transformation Feature","US-DT-002","TASK-JINT-001",".NET 8,C#,Jint","Medium","Low","A script runtime error is caught and does not crash the service; A script syntax error is caught; The returned DTO contains the correct `message`, `stackTrace`, and `lineNumber`.","Code reviewed; Unit tests for syntax and runtime error handling are passing.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-10-28","2024-11-08","100%","None","None","Unit testing of error mapping.","None","Improves developer experience by providing structured, actionable error messages for script debugging."
"TASK-API-002","Implement Backend API for Script CRUD","Create the `TransformationsController` with actions for GET (list), GET (by ID), POST, PUT, and DELETE to manage `TransformationScript` and `TransformationScriptVersion` entities.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-22","16","5","backend,api,crud,repo-centric","Sprint 2","Expose core script management via APIs and build the foundational UI editor.","Transformation Management UI","EPIC-002","Data Transformation Feature","US-DT-007","TASK-JINT-008",".NET 8,ASP.NET Core","Medium","Low","All endpoints are functional; POST creates a script with its first version; PUT creates a new version; DELETE removes a script; Endpoints are secured with RBAC.","Code reviewed; Integration tests for all CRUD endpoints are passing.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-11","2024-11-22","100%","Frontend team for API contract.","None","Integration testing of all endpoints.","API documentation (Swagger) must be updated.","Provides the API layer needed for the UI to manage the lifecycle of transformation scripts."
"TASK-SEC-005","Integrate Audit Logging into Script Management Services","Call the `IAuditLogger` service from the business logic layer after every successful Create, Update, and Delete operation for transformation scripts.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-22","5","2","backend,security,auditing,repo-centric","Sprint 2","Expose core script management via APIs and build the foundational UI editor.","Security & Compliance","EPIC-003","Data Transformation Feature","US-DT-010","TASK-SEC-004,TASK-API-002",".NET 8,C#","Low","Low","Creating, updating, or deleting a script triggers a corresponding audit log event with correct details.","Code reviewed; Integration tests verifying audit events are created for each CUD operation.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-11","2024-11-22","100%","None","None","Integration testing.","None","Ensures all changes to transformation logic are logged for compliance and security monitoring."
"TASK-SEC-001","Implement IEncryptionService using .NET Data Protection APIs","Create a service to encrypt and decrypt string data, which will be used by the data access layer to protect sensitive script content before persisting to the database.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-12-06","6.3","3","backend,security,encryption,repo-centric","Sprint 3","Deliver end-to-end script CRUD and preview functionality, including securing script storage.","Security & Compliance","EPIC-003","Data Transformation Feature","US-DT-009","",".NET 8,C#,Cryptography","Medium","High","Service can encrypt plaintext to ciphertext and decrypt ciphertext back to plaintext; Service is registered for DI.","Code reviewed; Unit tests passing; Key management strategy for production documented.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-25","2024-12-06","100%","None","None","Unit testing of encryption and decryption.","Requires correct DPAPI key configuration in the production environment.","Provides the core service for encrypting sensitive data at rest, a key security requirement."
"TASK-SEC-002","Integrate Encryption Service into Script Repository","Modify the `ScriptRepository` to use the `IEncryptionService` to automatically encrypt script content on write operations and decrypt it on read operations.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-12-06","6","3","backend,security,encryption,repo-centric","Sprint 3","Deliver end-to-end script CRUD and preview functionality, including securing script storage.","Security & Compliance","EPIC-003","Data Transformation Feature","US-DT-009","TASK-SEC-001,TASK-JINT-008",".NET 8,C#,Entity Framework Core","Medium","Medium","Script content is encrypted before saving; Script content is decrypted after retrieval; Process is transparent to calling services.","Code reviewed; Integration tests confirm data is encrypted in the test database and decrypted correctly by the application.","2024-10-21T09:00:00Z","2024-10-21T09:00:00Z","2024-11-25","2024-12-06","100%","None","None","Integration testing.","None","Implements the encryption-at-rest requirement for sensitive script content."
