id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1222,REQ-FUNC-DTR-001,Functional,The system's .NET backend shall provide a transformation engine to manipulate intermediate JSON data using JavaScript (ECMAScript 2015/ES6) executed via the Jint library.,Data Transformation Engine,The system's .NET backend shall provide an engine to manipulate intermediate JSON data using JavaScript (ECMAScript 2015/ES6). This engine must be executed securely via the Jint library...,[],"[""The implementation must use the Jint library."",""The supported JavaScript version must be ECMAScript 2015 (ES6) or higher.""]",[],FALSE,high,"['The engine correctly executes a valid ES6 script that performs basic JSON object manipulation (add, remove, modify properties).', 'The engine can be instantiated and invoked from the .NET backend code.', 'The engine correctly passes a JSON object from the .NET environment to the JavaScript environment.', 'The engine correctly returns a modified JSON object from the JavaScript environment to the .NET environment.']"
1223,REQ-SEC-DTR-001,NonFunctional,"The Jint transformation engine must be executed within a secure sandbox environment with configurable constraints for execution timeout, memory allocation, statement count, and must have Common Language Runtime (CLR) access disabled.",Security,"This engine must be executed securely via the Jint library, configured with strict constraints including a configurable execution timeout, memory allocation limits (with a default of 64MB), statement count limits, and disabled CLR access to create a secure sandbox environment. These constraints shall be manageable via application configuration.",[],[],['REQ-FUNC-DTR-001'],FALSE,high,"['A script attempting to execute longer than the configured timeout is terminated.', 'A script attempting to allocate more memory than the configured limit is terminated.', 'A script attempting to execute more statements than the configured limit is terminated.', 'A script attempting to access .NET CLR objects throws a security exception or is blocked.', ""All constraint values (timeout, memory, statement count) can be modified via the application's configuration files.""]"
1224,REQ-SEC-DTR-002,NonFunctional,"The system shall log any attempt to violate the secure sandbox constraints to a security audit trail, including the script identifier and the specific constraint that was violated.",Security,"Any attempt to violate these constraints shall be logged to a security audit trail with event details, including the script identifier and the constraint that was violated.",[],[],['REQ-SEC-DTR-001'],FALSE,high,"[""When a script timeout occurs, a log entry is created in the security audit trail specifying the script ID and 'Timeout Violation'."", ""When a memory limit is exceeded, a log entry is created in the security audit trail specifying the script ID and 'Memory Limit Violation'."", ""When a statement count limit is exceeded, a log entry is created in the security audit trail specifying the script ID and 'Statement Count Violation'."", 'The audit log entry contains a timestamp, event type, and relevant contextual details.']"
1225,REQ-DATA-DTR-001,Technical,"For reports utilizing a transformation script, the system shall buffer the entire dataset into memory as a System.Text.Json.JsonNode object before passing it to the transformation engine.",Data Handling,"For reports utilizing a transformation script, the system shall buffer the entire dataset into memory as a JSON object, using the System.Text.Json.JsonNode representation to minimize overhead before passing it to the transformation engine.",[],"[""Must use the System.Text.Json library for JSON handling.""]",['REQ-FUNC-DTR-001'],FALSE,medium,"['Data fetched from a connector is successfully parsed into a JsonNode object in memory.', 'The JsonNode object is correctly passed as input to the Jint engine for transformation.', 'The use of JsonNode is verified through code review to minimize parsing overhead compared to full deserialization.']"
1226,REQ-UI-DTR-001,Functional,"The Control Panel UI shall display a persistent performance warning to the administrator when a transformation script is associated with a report configuration, including a link to best-practice documentation.",Control Panel UI,"The Control Panel UI shall display a persistent performance warning to the administrator when a transformation script is added to a report configuration, advising that this may increase memory usage and processing time for large datasets. This warning shall include a link to best-practice documentation for writing efficient scripts.",[],[],[],FALSE,medium,"['When a user selects a transformation script in the report configuration UI, a warning message is displayed.', 'The warning message explicitly mentions potential increases in memory usage and processing time.', 'The warning message contains a functional hyperlink to the specified documentation page.', 'The warning remains visible as long as a script is associated with the report.']"
1227,REQ-UI-DTR-002,Functional,"The Control Panel shall provide a UI for managing transformation scripts that embeds the Monaco Editor component to offer real-time JavaScript syntax highlighting, code completion, and validation.",Control Panel UI,"The Control Panel, built on the React frontend framework, shall provide a UI for writing, managing, and validating transformation scripts. This UI will embed the Monaco Editor component to offer real-time syntax highlighting, code completion, and validation for JavaScript syntax errors.",[],"[""The frontend framework must be React."",""The embedded editor component must be Monaco Editor.""]",[],FALSE,high,"['The script management page displays an instance of the Monaco Editor.', 'As a user types JavaScript code, syntax is highlighted correctly.', 'Typing an object followed by a dot triggers code completion suggestions.', 'A clear visual indicator (e.g., a red squiggle) appears under a JavaScript syntax error in real-time.']"
1228,REQ-FUNC-DTR-002,Functional,"The system shall provide a preview function for administrators to test transformation scripts using either user-provided sample JSON or a limited sample of live data from a selected connector, with a configurable record limit.",Data Transformation Engine,"Administrators shall be able to preview the output of a transformation script via an asynchronous RESTful API endpoint. The preview can be generated using either user-provided sample JSON data sent in the request body or by fetching a limited sample of live data from a selected connector on the backend. The sample record limit shall be configurable by an administrator, with a default of 100 records.",[],[],"['REQ-FUNC-DTR-001', 'REQ-INTG-DTR-001']",FALSE,medium,"['Executing a preview with provided sample JSON data returns the correctly transformed data.', 'Executing a preview with a selected connector fetches data from that connector and returns the correctly transformed data.', 'When using a live data preview, the number of records fetched does not exceed the configured sample record limit.', 'The sample record limit can be configured in the application settings and defaults to 100.']"
1229,REQ-PERF-DTR-001,NonFunctional,"The transformation preview API endpoint shall enforce a configurable, server-side execution timeout (default 30 seconds) using a CancellationToken, and all timeout events must be logged.",Performance,"The preview function's API endpoint shall enforce a server-side execution timeout using a CancellationToken, with a default of 30 seconds, configurable by an administrator. This prevents long-running scripts from consuming excessive server resources and ensures the Control Panel UI remains responsive by preventing client-side freezes. Timeout events shall be logged with script and context details for performance analysis.",[],[],['REQ-INTG-DTR-001'],FALSE,medium,"['An API call to the preview endpoint with a script that runs longer than the configured timeout is terminated and returns a timeout error.', 'The default timeout for the preview endpoint is 30 seconds.', 'The timeout value can be changed in the application configuration.', 'When a timeout event occurs, a log entry is created containing details of the script and context for performance analysis.']"
1230,REQ-FUNC-DTR-003,Functional,"The transformation engine shall catch exceptions from user scripts, log the full error details, and return a structured error object in the API response.",Error Handling,"The transformation engine shall catch exceptions thrown by the JavaScript script during execution. The error, including a descriptive message, stack trace, and line/column number if available, must be logged by the backend and returned in the system's standard structured error format (`{""error"": {""message"": ""..."", ""stackTrace"": ""..."", ""lineNumber"": ...}}`) in the API response for clear display in the Control Panel UI.",[],[],['REQ-FUNC-DTR-001'],FALSE,high,"['When a JavaScript script throws an exception, the engine catches it and does not crash.', 'A detailed error log is created on the backend, including the error message and stack trace.', 'The API response body contains a JSON object with the structure `{""error"": {""message"": ""..."", ""stackTrace"": ""..."", ""lineNumber"": ...}}`.', 'The `message`, `stackTrace`, and `lineNumber` fields in the response are populated with data from the script exception.']"
1231,REQ-FUNC-DTR-004,Functional,"The system shall provide full CRUD (Create, Read, Update, Delete) functionality for transformation scripts and allow a single script to be associated with multiple report configurations.",Script Management,"The Control Panel shall provide full CRUD (Create, Read, Update, Delete) functionality for managing transformation scripts, associating them with one or more report configurations to promote reusability.",[],[],[],FALSE,high,"['An administrator can create a new transformation script and save it.', 'An administrator can view a list of all saved scripts and open one for editing.', 'An administrator can modify an existing script and save the changes.', 'An administrator can delete a script.', 'From the report configuration UI, an administrator can select a single script to associate with that report.']"
1232,REQ-FUNC-DTR-005,Functional,"The system shall support versioning for transformation scripts, allowing administrators to view change history, compare versions with a visual diff, and revert to a previous version.",Script Management,"The system shall support versioning for transformation scripts. Administrators must be able to view a history of changes, compare versions, and revert to a previously saved version of a script. The comparison view shall present a visual 'diff' of the changes between the selected versions.",[],[],['REQ-FUNC-DTR-004'],FALSE,medium,"['Every time a script is saved, a new version is created in the database.', 'The UI provides an interface to view a list of all historical versions for a selected script, including timestamp and user.', ""The UI allows selecting two versions and displays a side-by-side or inline visual 'diff' highlighting the changes."", ""The UI provides a 'revert' or 'restore' function that makes a selected historical version the current active version.""]"
1233,REQ-PERF-DTR-002,NonFunctional,"The transformation engine must process a 10MB JSON dataset with a 200-statement benchmark script in under 10 seconds on standard server hardware (4 vCPU, 16GB RAM), and this benchmark must be included in the QA test suite.",Performance,"The transformation engine must process a 10MB JSON dataset with a moderately complex script (a benchmark script of 200 statements) in under 10 seconds on standard server hardware (defined as 4 vCPU, 16GB RAM). ... This performance benchmark must be documented and included in the system's quality assurance test suite.",[],[],['REQ-FUNC-DTR-001'],FALSE,medium,"['A performance test exists in the QA test suite that executes the specified benchmark.', 'The test uses a JSON input file of approximately 10MB.', 'The test uses a JavaScript file containing at least 200 statements.', 'The test fails if the execution time on the defined standard hardware exceeds 10 seconds.']"
1234,REQ-BR-DTR-001,Functional,"The system shall enforce a configurable maximum dataset size for in-memory transformation, with a default limit of 256MB, to prevent OutOfMemory exceptions.",Business Rules,"The maximum dataset size for in-memory transformation shall be configurable, with a default limit of 256MB to prevent OutOfMemory exceptions.",[],[],['REQ-DATA-DTR-001'],FALSE,medium,"[""A report job attempting to process a dataset larger than the configured limit is marked as 'Failed'."", 'The error message for the failed job clearly indicates that the dataset size limit was exceeded.', 'The default limit is 256MB if not otherwise specified in the application configuration.', 'Changing the limit in the application configuration correctly changes the enforcement threshold.']"
1235,REQ-SEC-DTR-003,NonFunctional,All transformation scripts must be stored encrypted at rest in the system's database.,Security,All transformation scripts shall be stored encrypted at rest in the system's database.,[],[],['REQ-FUNC-DTR-004'],FALSE,high,"['Direct inspection of the database table containing scripts shows that the script content is not in plaintext.', 'The application can successfully decrypt and execute a script that is stored in the database.', 'The encryption/decryption process is handled transparently by the application logic.', 'Encryption keys are managed securely according to platform best practices (e.g., .NET Data Protection APIs).']"
1236,REQ-SEC-DTR-004,NonFunctional,"Access to script CRUD operations and report associations shall be restricted via Role-Based Access Control (RBAC), and all such operations must be logged in an immutable audit trail.",Security,"Access to create, modify, or delete scripts shall be restricted to authorized users via Role-Based Access Control (RBAC). Furthermore, all CRUD operations on scripts, as well as changes in their association with reports, shall be logged in an immutable audit trail, capturing the user, timestamp, and nature of the change.",[],[],['REQ-FUNC-DTR-004'],FALSE,high,"[""A user without the required role (e.g., 'Administrator') receives a 'Forbidden' error when attempting to access script management APIs."", 'A user with the required role can successfully perform all CRUD operations on scripts.', 'Creating, updating, or deleting a script creates an entry in the audit trail.', 'Associating or disassociating a script with a report creates an entry in the audit trail.', ""The audit trail entry includes the responsible user's ID, a timestamp, and a description of the action performed.""]"
